,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-60.0,-6.0,42.0,9.811979058604352,4050
1,1a,-63.0,6.0,36.0,8.601922229480644,
2,1b,-63.0,0.0,42.0,8.435063042967803,
3,1c,-48.0,-15.0,39.0,8.364057638404098,
4,2,60.0,0.0,36.0,9.605127549982564,1512
5,2a,45.0,-12.0,42.0,7.590199981504003,
6,3,63.0,12.0,27.0,8.253889390034741,972
7,3a,51.0,3.0,30.0,6.968355066469026,
8,3b,54.0,9.0,39.0,3.565609243206602,
9,4,36.0,-3.0,15.0,8.087451045337952,1188
10,5,-63.0,-18.0,27.0,5.807509640212768,594
11,5a,-63.0,-21.0,42.0,5.646351779841937,
12,5b,-60.0,-21.0,33.0,5.416271266564972,
13,6,45.0,-18.0,57.0,5.71096322401956,702
14,6a,36.0,-12.0,57.0,5.633745580281304,
15,6b,30.0,-9.0,66.0,4.796134558157823,
16,6c,36.0,-15.0,69.0,4.25454445477861,
17,7,-12.0,-15.0,93.0,5.522476630567729,621
18,7a,-6.0,-15.0,99.0,4.713851659048408,
19,7b,-3.0,-18.0,90.0,4.27073271340379,
20,7c,-18.0,-12.0,96.0,4.085567578087745,
21,8,-24.0,-24.0,90.0,5.331805598633179,648
22,8a,-36.0,-24.0,90.0,4.700088130979971,
23,8b,-12.0,-24.0,90.0,4.0378454928078105,
24,8c,-36.0,-24.0,84.0,3.527476619326462,
25,9,-15.0,-60.0,66.0,4.835098715014931,837
26,9a,-15.0,-60.0,57.0,4.615642180514562,
27,9b,-6.0,-63.0,63.0,4.091568014933439,
